gate,x_channel,y_channel,x_scale,y_scale,vertex,x,y
lymphocytes,FSC-H,SSC-H,linear,linear,1,41350.03,63836.57
lymphocytes,FSC-H,SSC-H,linear,linear,2,36915.71,44326.83
lymphocytes,FSC-H,SSC-H,linear,linear,3,36915.71,25731.6
lymphocytes,FSC-H,SSC-H,linear,linear,4,36915.71,11404.14
lymphocytes,FSC-H,SSC-H,linear,linear,5,38816.13,4087.98
lymphocytes,FSC-H,SSC-H,linear,linear,6,89494.18,7136.38
lymphocytes,FSC-H,SSC-H,linear,linear,7,172057.17,8965.42
lymphocytes,FSC-H,SSC-H,linear,linear,8,195918.09,11404.14
lymphocytes,FSC-H,SSC-H,linear,linear,9,190639.13,44326.83
lymphocytes,FSC-H,SSC-H,linear,linear,10,182615.1,67494.65
lymphocytes,FSC-H,SSC-H,linear,linear,11,151363.64,86699.55
lymphocytes,FSC-H,SSC-H,linear,linear,12,120323.33,85785.03
lymphocytes,FSC-H,SSC-H,linear,linear,13,83159.43,87004.39
lymphocytes,FSC-H,SSC-H,linear,linear,14,51274.49,75725.32
dead_lymphocytes,SSC-H,V545-A,log,logicle,1,6462.92,2222.98
dead_lymphocytes,SSC-H,V545-A,log,logicle,2,218766.42,2553.0
dead_lymphocytes,SSC-H,V545-A,log,logicle,3,239266.86,-261.34
dead_lymphocytes,SSC-H,V545-A,log,logicle,4,6080.02,-267.31
