panel,detector,fluorochrome,marker
T,V450-A,Pacific Blue or BV421,CCR7
T,V545-A,Aquablue,LIVE/DEAD
T,V605-A,BV605,CD4
T,V655-A,BV650,CD45RA
T,V800-A,BV785,CD3
T,B515-A,FITC,CD27
T,B710-A,PerCP-Cy5.5,CXCR4
T,G560-A,PE,CD49b
T,G610-A,PE Dazzle,CD14/19
T,G660-A,PE-Cy5,CD69
T,G780-A,PE-Cy7,CD103
T,R660-A,APC,CD95
T,R780-A,APC-Cy7,CD8
B,V450-A,Pacific Blue or BV421,CD80
B,V545-A,Aquablue,LIVE/DEAD
B,V605-A,BV605,CD27
B,V655-A,BV650,CD19
B,V800-A,BV785,CD45
B,B515-A,FITC,CD10
B,B710-A,PerCP-Cy5.5,CD138
B,G560-A,PE,PD-1
B,G610-A,PE Dazzle,CD20
B,G660-A,PE-Cy5,CD38
B,G780-A,PE-Cy7,CD86
B,R660-A,APC,CD21
B,R780-A,APC-Cy7,CD40
NK,V450-A,Pacific Blue or BV421,CD7
NK,V545-A,Aquablue,LIVE/DEAD
NK,V605-A,BV605,NKp46
NK,V655-A,BV650,NKG2D
NK,V800-A,BV785,CD45
NK,B515-A,FITC,KIR3DL1
NK,B710-A,PerCP-Cy5.5,DNAM-1
NK,G560-A,PE,PD-1
NK,G610-A,PE Dazzle,CD16
NK,G660-A,PE-Cy5,CD69
NK,G780-A,PE-Cy7,CD56
NK,R660-A,APC,NKG2C
NK,R780-A,APC-Cy7,CD3
Mono,V450-A,Pacific Blue or BV421,CD15
Mono,V545-A,Aquablue,LIVE/DEAD
Mono,V605-A,BV605,CD33
Mono,V655-A,BV650,HLA-DR
Mono,V800-A,BV785,CD45
Mono,B515-A,FITC,LIN
Mono,B710-A,PerCP-Cy5.5,CD14
Mono,G560-A,PE,PD-L1
Mono,G610-A,PE Dazzle,CD16
Mono,G660-A,PE-Cy5,CD11b
Mono,G780-A,PE-Cy7,CD124
Mono,R660-A,APC,CD64
Mono,R780-A,APC-Cy7,CD13
DC,V450-A,Pacific Blue or BV421,CD123
DC,V545-A,Aquablue,LIVE/DEAD
DC,V605-A,BV605,BDCA-3
DC,V655-A,BV650,HLA-DR
DC,V800-A,BV785,CD45
DC,B515-A,FITC,LIN
DC,B710-A,PerCP-Cy5.5,CD34
DC,G560-A,PE,PD-L1
DC,G610-A,PE Dazzle,BDCA-2
DC,G660-A,PE-Cy5,CD11c
DC,G780-A,PE-Cy7,BDCA-1
DC,R660-A,APC,CD117
DC,R780-A,APC-Cy7,CD40
