alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
Viable,-,root,Zombie aqua CD14 CD19,mindensity,,,,,
SingleCells,+,Viable,"FSC-A,FSC-H",singletGate,,,,,
Lymphocytes,+,SingleCells,"FSC-A,SSC-A",flowClust,K=2,,,,
CD3pos,+,Lymphocytes,CD3 PECy5,mindensity,,,,,
CD56pos,+,Lymphocytes,CD56 PEDazzle594,mindensity,,,,,
CD56posCD3neg,+,Lymphocytes,,boolGate,CD56pos&!CD3pos,,,,
CD56posCD3pos,+,Lymphocytes,,boolGate,CD56pos&CD3pos,,,,
CD56negCD3pos,+,Lymphocytes,,boolGate,!CD56pos&CD3pos,,,,
CD56negCD3neg,+,Lymphocytes,,boolGate,!CD56pos&!CD3pos,,,,
CD56bright,+,CD56posCD3neg,CD56 PEDazzle594,mindensity,,,,,
CD56dim,-,CD56posCD3neg,CD56 PEDazzle594,mindensity,,,,,
NKG2Cpos,+,CD56dim,NKG2C PE,mindensity,,,,,
NKG2Cneg,-,CD56dim,NKG2C PE,mindensity,,,,,
NKG2A,+,NKG2Cpos,NKG2A PE-Vio770,mindensity,,,,,
CD57,+,NKG2Cpos,CD57 pure + aIgM BV605,mindensity,,,,,
NKp30,+,NKG2Cpos,NKp30 eF450,mindensity,,,,,
ILT2,+,NKG2Cpos,ILT2 APC,mindensity,,,,,
Siglec7,+,NKG2Cpos,Siglec-7 APCVio770,mindensity,,,,,
CD2,+,NKG2Cpos,CD2 PerCPCy55,mindensity,,,,,
CD7,+,NKG2Cpos,CD7 BV786,mindensity,,,,,
NKG2A,+,NKG2Cneg,NKG2A PE-Vio770,mindensity,,,,,
CD57,+,NKG2Cneg,CD57 pure + aIgM BV605,mindensity,,,,,
NKp30,+,NKG2Cneg,NKp30 eF450,mindensity,,,,,
ILT2,+,NKG2Cneg,ILT2 APC,mindensity,,,,,
Siglec7,+,NKG2Cneg,Siglec-7 APCVio770,mindensity,,,,,
CD2,+,NKG2Cneg,CD2 PerCPCy55,mindensity,,,,,
CD7,+,NKG2Cneg,CD7 BV786,mindensity,,,,,
