alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
Singlets,+,root,"FSC-A,FSC-H",singletGate,,,,,
Live,-,Singlets,LIVE DEAD Blue-A,mindensity,,,,,
CD45pos,+,Live,CD45,mindensity,,,,,
Lymphocytes,+,CD45pos,"FSC-A,SSC-A",flowClust,K=2,,,,
CD3pos,+,Lymphocytes,CD3,mindensity,,,,,
CD3neg,-,Lymphocytes,CD3,mindensity,,,,,
NK,+,CD3neg,CD56,mindensity,,,,,
CD8pos,+,CD3pos,CD8,mindensity,,,,,
CD161hi,+,CD8pos,CD161,mindensity,"gate_range=c(1.5,3.5)",,,,
CD45RApos,+,CD8pos,CD45ra,mindensity,,,,,
CCR7pos,+,CD8pos,CCR7,mindensity,,,,,
Naive,+,CD8pos,,boolGate,CD45RApos&CCR7pos,,,,
CM,+,CD8pos,,boolGate,!CD45RApos&CCR7pos,,,,
EM,+,CD8pos,,boolGate,!CD45RApos&!CCR7pos,,,,
EMRA,+,CD8pos,,boolGate,CD45RApos&!CCR7pos,,,,
