file_name,operator,instrument,centre,model,material,vial,stain
OpM_I6_C5_IM2_PBMC2_APC.fcs,M,6,5,2,PBMC,2,APC
OpM_I6_C5_IM2_PBMC2_FITC.fcs,M,6,5,2,PBMC,2,FITC
OpM_I6_C5_IM2_PBMC2_NIR.fcs,M,6,5,2,PBMC,2,NIR
OpM_I6_C5_IM2_PBMC2_PC5_5.fcs,M,6,5,2,PBMC,2,PC5_5
OpM_I6_C5_IM2_PBMC2_PC7.fcs,M,6,5,2,PBMC,2,PC7
OpM_I6_C5_IM2_PBMC2_PE.fcs,M,6,5,2,PBMC,2,PE
OpM_I6_C5_IM2_PBMC2_UNST.fcs,M,6,5,2,PBMC,2,UNST
OpM_I6_C5_IM2_WB1_APC Cy7.fcs,M,6,5,2,WB,1,APC Cy7
OpM_I6_C5_IM2_WB1_APC.fcs,M,6,5,2,WB,1,APC
OpM_I6_C5_IM2_WB1_FITC.fcs,M,6,5,2,WB,1,FITC
OpM_I6_C5_IM2_WB1_PC5_5.fcs,M,6,5,2,WB,1,PC5_5
OpM_I6_C5_IM2_WB1_PC7.fcs,M,6,5,2,WB,1,PC7
OpM_I6_C5_IM2_WB1_PE.fcs,M,6,5,2,WB,1,PE
OpM_I6_C5_IM2_WB1_UNST.fcs,M,6,5,2,WB,1,UNST
