operator,centre,instrument,instrument_model,analysis,material,vial,round,excluded,parameter,percent
A,2,2,1,centr,PBMC,1,1,No,CD3,67.34
A,2,2,1,centr,PBMC,1,1,No,CD4,32.49
A,2,2,1,centr,PBMC,1,1,No,CD8,61.8
A,2,2,1,centr,PBMC,1,1,No,CD3_N,10.24
A,2,2,1,centr,PBMC,1,1,No,CD4_N,19.49
A,2,2,1,centr,PBMC,1,1,No,CD8_N,5.61
A,2,2,1,centr,PBMC,1,1,No,CD3_CM,20.76
A,2,2,1,centr,PBMC,1,1,No,CD4_CM,41.93
A,2,2,1,centr,PBMC,1,1,No,CD8_CM,7.96
A,2,2,1,centr,PBMC,1,1,No,CD3_EM,29.2
A,2,2,1,centr,PBMC,1,1,No,CD4_EM,32.72
A,2,2,1,centr,PBMC,1,1,No,CD8_EM,31.08
A,2,2,1,centr,PBMC,1,1,No,CD3_TD,39.8
A,2,2,1,centr,PBMC,1,1,No,CD4_TD,5.85
A,2,2,1,centr,PBMC,1,1,No,CD8_TD,55.35
A,2,2,1,centr,PBMC,1,2,No,CD3,75.74
A,2,2,1,centr,PBMC,1,2,No,CD4,45.38
A,2,2,1,centr,PBMC,1,2,No,CD8,49.88
A,2,2,1,centr,PBMC,1,2,No,CD3_N,16.8
A,2,2,1,centr,PBMC,1,2,No,CD4_N,28.68
A,2,2,1,centr,PBMC,1,2,No,CD8_N,7.51
A,2,2,1,centr,PBMC,1,2,No,CD3_CM,20.04
A,2,2,1,centr,PBMC,1,2,No,CD4_CM,37.28
A,2,2,1,centr,PBMC,1,2,No,CD8_CM,6.71
A,2,2,1,centr,PBMC,1,2,No,CD3_EM,28.98
A,2,2,1,centr,PBMC,1,2,No,CD4_EM,30.24
A,2,2,1,centr,PBMC,1,2,No,CD8_EM,29.46
A,2,2,1,centr,PBMC,1,2,No,CD3_TD,34.18
A,2,2,1,centr,PBMC,1,2,No,CD4_TD,3.8
A,2,2,1,centr,PBMC,1,2,No,CD8_TD,56.32
A,2,2,1,centr,PBMC,1,3,No,CD3,68.97
A,2,2,1,centr,PBMC,1,3,No,CD4,24.92
A,2,2,1,centr,PBMC,1,3,No,CD8,69.11
A,2,2,1,centr,PBMC,1,3,No,CD3_N,6.95
A,2,2,1,centr,PBMC,1,3,No,CD4_N,18.33
A,2,2,1,centr,PBMC,1,3,No,CD8_N,3.58
A,2,2,1,centr,PBMC,1,3,No,CD3_CM,8.32
A,2,2,1,centr,PBMC,1,3,No,CD4_CM,25.6
A,2,2,1,centr,PBMC,1,3,No,CD8_CM,3.46
A,2,2,1,centr,PBMC,1,3,No,CD3_EM,28.94
A,2,2,1,centr,PBMC,1,3,No,CD4_EM,45.49
A,2,2,1,centr,PBMC,1,3,No,CD8_EM,25.52
A,2,2,1,centr,PBMC,1,3,No,CD3_TD,55.79
A,2,2,1,centr,PBMC,1,3,No,CD4_TD,10.58
A,2,2,1,centr,PBMC,1,3,No,CD8_TD,67.43
A,2,2,1,centr,PBMC,2,1,No,CD3,84.13
A,2,2,1,centr,PBMC,2,1,No,CD4,34.06
A,2,2,1,centr,PBMC,2,1,No,CD8,62.86
