claim_id,short_name,measure,test,expected,quote,figure
1,Interoperator CV acceptable in cPBMC,interoperator_cv,count_below_0.20,8 of 15 parameters local and 12 of 15 central,"In particular, acceptable precision values (CV below 0.20) were obtained for 8/15 vs. 12/15 parameters in cPBMC and for 6/15 vs. 13/15 parameters in WB experiments, in local vs. centralised analysis, respectively",5a
2,Interoperator CV acceptable in whole blood,interoperator_cv,count_below_0.20,6 of 15 parameters local and 13 of 15 central,"In particular, acceptable precision values (CV below 0.20) were obtained for 8/15 vs. 12/15 parameters in cPBMC and for 6/15 vs. 13/15 parameters in WB experiments, in local vs. centralised analysis, respectively",5a
3,Interoperator bias acceptable in cPBMC,interoperator_bias,count_below_0.20,9 of 15 parameters local and 13 of 15 central,"Regarding bias, mean values below 0.20 (considered acceptable) were achieved for 9/15 vs. 13/15 in cPBMCs and 7/15 vs. 14/15 parameters in WB locally vs. centrally analysed samples",5b
4,Interoperator bias acceptable in whole blood,interoperator_bias,count_below_0.20,7 of 15 parameters local and 14 of 15 central,"Regarding bias, mean values below 0.20 (considered acceptable) were achieved for 9/15 vs. 13/15 in cPBMCs and 7/15 vs. 14/15 parameters in WB locally vs. centrally analysed samples",5b
5,Agreement acceptable in cPBMC,interoperator_icc,count_above_0.75,5 of 15 parameters local and 7 of 15 central,"ICC laid above the acceptability threshold for 5/15 vs. 7/15 in cPBMC and for 2/15 vs. 11/15 parameters in WB samples, in local vs. centralised analysis",5c
6,Agreement acceptable in whole blood,interoperator_icc,count_above_0.75,2 of 15 parameters local and 11 of 15 central,"ICC laid above the acceptability threshold for 5/15 vs. 7/15 in cPBMC and for 2/15 vs. 11/15 parameters in WB samples, in local vs. centralised analysis",5c
7,Intraoperator CV in cPBMC,intraoperator_cv,maximum_and_median,maximum 1.32 local against 0.75 central and median 0.13 against 0.14,"Concerning repeatability, interassay analysis in cPBMC globally revealed a maximum CV value of 1.32 vs. 0.75 and median CV values of 0.13 vs. 0.14 in local vs. central results",S2a and S2b
8,Intraoperator CV above threshold in cPBMC,intraoperator_cv,count_above_0.20,52 of 195 local and 56 of 195 central,"However, in this setting, CVs for many of the parameters are often laid above the acceptability threshold (52/195 and 56/195, by local and central analysis, respectively)",S2a and S2b
9,Intraoperator CV in whole blood,intraoperator_cv,count_above_0.20,5 of 195 local and 2 of 195 central with a median of 0.03 for both,"On the other hand, in WB intra-assay analysis, CV values were excellent (by far below 0.20) for almost all operators (only 5/195 and 2/195 above the 0.20 threshold), with maximum CV values of 0.28 and 0.29, respectively, and a median CV value of 0.03 for both local and central analyses",S2c and S2d
10,Z-score never unsatisfactory in central analysis,operator_z_score,count_above_3,0 of 195 in cPBMC and 0 of 195 in whole blood,"In central analysis, Z-score was never found unsatisfactory (Figures 4(b) and 4(d)), while in local analysis, some parameters were under- or overestimated, slightly in cPBMC (1/195) and notably in WB (49/195) setting",4b and 4d
11,Z-score unsatisfactory in local analysis,operator_z_score,count_above_3,1 of 195 in cPBMC and 49 of 195 in whole blood,"In central analysis, Z-score was never found unsatisfactory (Figures 4(b) and 4(d)), while in local analysis, some parameters were under- or overestimated, slightly in cPBMC (1/195) and notably in WB (49/195) setting",4a and 4c
12,The reference operator scores among the best,operator_z_score,rank_of_operator_M,operator M in the best group of all operators,"Of note, ex post analysis of reference operator (ROP: Op_M) performance revealed that this operator reached one of the best scores among all operators",4
13,CD8 naive is the least reliable parameter in cPBMC,parameter_reliability,fails_cv_bias_and_icc,CD8_N outside the acceptable range for CV and for bias and for ICC,"Specifically, the CD8-N subset proved to be out of the acceptability range for both accuracy (CV and Bias) and agreement (ICC), thus turning out to be the less reliable parameter under study",5
14,CD4 terminally differentiated has the worst precision,parameter_reliability,worst_cv_and_bias,CD4_TD worst on CV and on bias with acceptable ICC,"Distinctively, CD4-TD cells showed the worst CV and bias values both in the interoperator study of variability and in the intraoperator analysis of precision, while their agreement among operators was acceptable in both cPBMC and WB settings",5
15,Precision follows population size,interoperator_cv,parent_below_subset,CD3 and CD4 and CD8 below the twelve naive and memory subsets,"As expected, the median CV was lower for abundant populations (i.e., CD3+ cells within lymphocytes, and CD4+ or CD8+ cells within CD3+ T cells), and higher for less-represented and poorly resolved subsets, such as CD4+ TD cells",5a
16,Excluding poor performers improves agreement,interoperator_icc,icc_after_exclusion,2 of 15 parameters still below 0.75 and they are CD3_CM and CD4_CM,"This selection improved operator concordance for most parameters, even if 2 out of 15 (CD3-CM and CD4-CM) were still below 0.75 thresholds",S4
17,Two components carry the parent population variance,pca_variance,explained_variance,99.4 percent in the first two components,"In WB, the PCA analysis revealed that in parent populations (CD3+, CD4+, and CD8+; Figures 6(a)-6(c)), the first two components accounted for 99.4% of total variance",6a to 6c
18,Two components carry most subset variance,pca_variance,explained_variance,63.9 percent in the first two components,"On the other hand, PCA of naive/memory cell subsets (Figures 6(d)-6(f)) revealed that 63.9% of the variance was represented in a 2-dimensional space",6d to 6f
19,Dispersion is wider in locally analysed whole blood,distribution_spread,spread_by_material_and_analysis,whole blood local wider than cPBMC local and centralisation reduces it more in whole blood,"Dispersion of frequency profiles was far more evident in locally analysed WB as compared to cPBMC samples. However, centralisation reduced it to a greater extent in WB setting",3
20,The cPBMC preparation carries an unexpected phenotype,phenotype,cd4_cd8_ratio_and_td,CD4 over CD8 below the expected value and a high CD8 terminally differentiated frequency,"Of note, regarding cPBMC plots, we found a CD4/CD8 ratio lower than the normal expected value and a very high percentage of TD CD8 T cells with a consequently altered relative proportion of the other memory subsets",3b
