file_name,operator,instrument,centre,model,material,vial,round
OpA_I2_C2_IM1_PBMC1_R1.fcs,A,2,2,1,PBMC,1,1
OpA_I2_C2_IM1_PBMC1_R2.fcs,A,2,2,1,PBMC,1,2
OpA_I2_C2_IM1_PBMC1_R3.fcs,A,2,2,1,PBMC,1,3
OpA_I2_C2_IM1_PBMC2_R1.fcs,A,2,2,1,PBMC,2,1
OpA_I2_C2_IM1_PBMC2_R2.fcs,A,2,2,1,PBMC,2,2
OpA_I2_C2_IM1_PBMC2_R3.fcs,A,2,2,1,PBMC,2,3
OpA_I2_C2_IM1_PBMC3_R1.fcs,A,2,2,1,PBMC,3,1
OpA_I2_C2_IM1_PBMC3_R2.fcs,A,2,2,1,PBMC,3,2
OpA_I2_C2_IM1_PBMC3_R3.fcs,A,2,2,1,PBMC,3,3
OpA_I2_C2_IM1_WB1_R1.fcs,A,2,2,1,WB,1,1
OpA_I2_C2_IM1_WB1_R2.fcs,A,2,2,1,WB,1,2
OpA_I2_C2_IM1_WB1_R3.fcs,A,2,2,1,WB,1,3
OpA_I2_C2_IM1_WB2_R1.fcs,A,2,2,1,WB,2,1
OpA_I2_C2_IM1_WB2_R2.fcs,A,2,2,1,WB,2,2
OpA_I2_C2_IM1_WB2_R3.fcs,A,2,2,1,WB,2,3
OpA_I2_C2_IM1_WB3_R1.fcs,A,2,2,1,WB,3,1
OpA_I2_C2_IM1_WB3_R2.fcs,A,2,2,1,WB,3,2
OpA_I2_C2_IM1_WB3_R3.fcs,A,2,2,1,WB,3,3
OpB_I3_C3_IM1_PBMC1_R1.fcs,B,3,3,1,PBMC,1,1
OpB_I3_C3_IM1_PBMC1_R2.fcs,B,3,3,1,PBMC,1,2
OpB_I3_C3_IM1_PBMC1_R3.fcs,B,3,3,1,PBMC,1,3
OpB_I3_C3_IM1_PBMC2_R1.fcs,B,3,3,1,PBMC,2,1
OpB_I3_C3_IM1_PBMC2_R2.fcs,B,3,3,1,PBMC,2,2
OpB_I3_C3_IM1_PBMC2_R3.fcs,B,3,3,1,PBMC,2,3
OpB_I3_C3_IM1_PBMC3_R1.fcs,B,3,3,1,PBMC,3,1
OpB_I3_C3_IM1_PBMC3_R2.fcs,B,3,3,1,PBMC,3,2
OpB_I3_C3_IM1_PBMC3_R3.fcs,B,3,3,1,PBMC,3,3
OpB_I3_C3_IM1_WB1_R1.fcs,B,3,3,1,WB,1,1
